"Buyer Questions","Buyer Questions"
"You have got a new response on your question.","You have got a new response on your question."
"Admin replied to a query on your product.","Admin replied to a query on your product."
"Customer Questions","Customer Questions"
"Question(s) deleted successfully.","Question(s) deleted successfully."
"Question(s) disabled successfully.","Question(s) disabled successfully."
"Question(s) enabled successfully.","Question(s) enabled successfully."
"Give Answer","Give Answer"
"Questions","Questions"
"Product Question Answer","Product Question Answer"
"Click to response","Click to response"
"Question","Question"
"Product Name:","Product Name:"
"Product Description:","Product Description:"
"Submit","Submit"
"Buyer Question","Buyer Question"
"Customer","Customer"
"Manage MPQA","Manage MPQA"
"Question List","Question List"
"Image","Image"
"Product Name","Product Name"
"Subject","Subject"
"Date","Date"
"No Questions Available","No Questions Available"
"Back","Back"
"Search or Ask Question","Search or Ask Question"
"Answers,"Answers"
"View All","View All"
"Most Recent","Most Recent"
"Most Helpful","Most Helpful"
"by ","by "
" on "," on "
"View More","View More"
"Ask Question","Ask Question"
"Your Answer","Your Answer"
"Name to Display","Name to Display"
"Query","Query"
"No matching search result found","No matching search result found"
"Displaying Questions","Displaying Questions"
"Thank you","Thank you"
"Click here","Click here"
"General Settings","General Settings"
"Question Approval Required","Question Approval Required"
"Email notification to Seller","Email notification to Seller"
"Email notification to Admin","Email notification to Admin"
"Email Templates","Email Templates"
"Email Notification to Seller Template","Email Notification to Seller Template"
"Email Notification to Admin Template","Email Notification to Admin Template"
"Email Notification to Customer Template","Email Notification to Customer Template"
"Disable","Disable"
"Do you want to Disable Selected Questions?","Do you want to Disable Selected Questions?"
"Enable","Enable"
"Do you want to Enable Selected Questions?","Do you want to Enable Selected Questions?"
"Delete","Delete"
"Do you want to Delete Selected Questions?","Do you want to Delete Selected Questions?"
"Id","Id"
"Buyer Name","Buyer Name"
"Seller Name","Seller Name"
"Status","Status"
"View QA","View QA"
"Seller replied to a query on his product.","Seller replied to a query on his product."
"Response added successfully","Response added successfully"